Results	Entity	Line	Column	Check
Number of Results: 12823				
  Application				
    EWCM				
      LED.c				
        Identifier i reused	i	116	16	5.7 No identifier name should be reused
      switch.c				
        Identifier pin reused	pin	105	28	5.7 No identifier name should be reused
      windowlifter.h				
        Reserved Identifier, Macro, or Function defined, redefined or undefined in file windowlifter.h	_WINDOWLIFTER_H	27	0	20.1 Reserved identifiers, macros and functions in the standard library shall not be defined, redefined or undefined
        Name for a standard library macro or object is reused in file windowlifter.h	_WINDOWLIFTER_H	27	0	20.2 The names of standard library macros and objects shall not be reused
    Main Application				
      init.c				
        Identifier disableWatchdog reused	disableWatchdog	119	5	5.7 No identifier name should be reused
        Identifier pin reused	pin	165	16	5.7 No identifier name should be reused
        Violation: disableWatchdog is only used within init.c, so static keyword should be used.	disableWatchdog	119	5	8.10 prefer internal linkage over external whenever possible
        Violation: init_OnBoardLEDs is only used within init.c, so static keyword should be used.	init_OnBoardLEDs	133	5	8.10 prefer internal linkage over external whenever possible
        ""U"" or ""u"" suffix not applied to interger constant 0x0000C520		121	13	10.6 A U suffix shall be applied to all constants of unsigned type
        ""U"" or ""u"" suffix not applied to interger constant 0x0000D928		122	13	10.6 A U suffix shall be applied to all constants of unsigned type
        ""U"" or ""u"" suffix not applied to interger constant 0x8000010A		123	13	10.6 A U suffix shall be applied to all constants of unsigned type
        Violation: C99 style comment found: //PCR_GPIO_OutputConfiguration		64	31	2.2 only use /* comments
        Violation: C99 style comment found: //PCR_GPIO_InputConfiguration		65	31	2.2 only use /* comments
        Violation: C99 style comment found: //PCR_AnalogConfiguration		66	32	2.2 only use /* comments
      main.c				
        Identifier main reused	main	36	4	5.7 No identifier name should be reused
        Identifier main.c reused	main.c	2	0	5.7 No identifier name should be reused
        Null statement is not on a line by itself. Nothing is allowed before the null statement. There needs to be a space following the null statement. Only comments and whitespace are allowed after. 		61	14	14.3 A null statement shall only occur on a line by itself
        No exit point in function	main	36	4	14.7 A function shall have a single point of exit at the end of the function
        Violation: basic numerical type ""int"" used.	main	36	4	6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.
      MPC5606B.h				
        Identifier A reused	A	4625	22	5.7 No identifier name should be reused
        Identifier ABD reused	ABD	2542	22	5.7 No identifier name should be reused
        Identifier ABORT reused	ABORT	63	26	5.7 No identifier name should be reused
        Identifier ABORT reused	ABORT	1398	22	5.7 No identifier name should be reused
        Identifier ABORTCHAIN reused	ABORTCHAIN	62	26	5.7 No identifier name should be reused
        Identifier ABORT_CHAIN reused	ABORT_CHAIN	1397	22	5.7 No identifier name should be reused
        Identifier ABRQ reused	ABRQ	2996	22	5.7 No identifier name should be reused
        Identifier ABRQ reused	ABRQ	3262	22	5.7 No identifier name should be reused
        Identifier ABRQ reused	ABRQ	3597	22	5.7 No identifier name should be reused
        Identifier AC0_SC reused	AC0_SC	4382	6	5.7 No identifier name should be reused
        Identifier ACKERR reused	ACKERR	5871	22	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	64	26	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	82	26	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	1399	22	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	1418	22	5.7 No identifier name should be reused
        Identifier ACTIVE reused	ACTIVE	5151	18	5.7 No identifier name should be reused
        Identifier ACTIVE reused	ACTIVE	5194	18	5.7 No identifier name should be reused
        Identifier ACTIVE_CK reused	ACTIVE_CK	2009	26	5.7 No identifier name should be reused
        Identifier ADC0_reserved0 reused	ADC0_reserved0	88	15	5.7 No identifier name should be reused
        Identifier ADC0_reserved1 reused	ADC0_reserved1	370	10	5.7 No identifier name should be reused
        Identifier ADC0_reserved10 reused	ADC0_reserved10	1005	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved11 reused	ADC0_reserved11	1274	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved2 reused	ADC0_reserved2	480	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved3 reused	ADC0_reserved3	528	13	5.7 No identifier name should be reused
